rank_h_index,h_index,rank_g_index,g_index,bgg_user_name
628,35,1202,58,theokester
628,35,1202,58,tsuk
628,35,1276,57,heppydie
628,35,1276,57,joker2
628,35,1276,57,missiloon
628,35,1276,57,shiftymruzik
628,35,1276,57,smile10089
628,35,1362,56,al1-f78
628,35,1362,56,purple
628,35,1362,56,toadfrog
628,35,1362,56,youvebeennamed
628,35,1459,55,amethyst246
628,35,1459,55,corruptparty
628,35,1459,55,derfu
628,35,1459,55,ninjabob
628,35,1459,55,nistrale
628,35,1459,55,qwadrat
628,35,1459,55,storyboardgamer
628,35,1568,54,bkunes
628,35,1568,54,ditterio
628,35,1568,54,g_dy
628,35,1568,54,logos32
628,35,1568,54,permagoof
628,35,1568,54,todi
628,35,1674,53,antoineg
628,35,1674,53,ccarlet1
628,35,1674,53,edubabu
628,35,1674,53,odysseus3
628,35,1674,53,stephenrowlands2
628,35,1792,52,douce_peter
628,35,1792,52,murr
628,35,1792,52,pihalbe
628,35,1792,52,william walker
628,35,1906,51,bloodlord
628,35,1906,51,cgarvie
628,35,1906,51,fbinder
628,35,2053,50,keisus
628,35,2053,50,pugthemagician
628,35,2204,49,bobondi
628,35,2204,49,korwyn
628,35,2204,49,musunu
628,35,2351,48,ayhansaygili
628,35,2351,48,maitreya
628,35,2351,48,penguinised
628,35,2351,48,proscott88
628,35,2555,47,debelbot
628,35,2555,47,hollender
628,35,2969,45,bombadillo
628,35,3216,44,happy meeple
628,35,3216,44,thejadeape
628,35,4092,41,hierogal
751,34,71,113,bowie47
751,34,120,101,gibbon27
751,34,136,98,holy smoker
751,34,196,90,kompanjon83
751,34,216,88,canales
751,34,242,86,chris coyote
751,34,298,81,johncraven
751,34,340,78,collins_m
751,34,361,77,pleechu
751,34,473,73,dafair
751,34,493,72,atkinsst
751,34,493,72,pompoli
751,34,522,71,salt-man z
751,34,589,69,barloy
751,34,589,69,darkor
751,34,623,68,asdrubaelv
751,34,652,67,frogmind
751,34,652,67,madhattersneverland
751,34,652,67,timonator85
751,34,696,66,killerpower
751,34,741,65,c5_blake
751,34,741,65,tharkad
751,34,787,64,isandlwana
751,34,843,63,charlymorgoth
751,34,843,63,lachendr0
751,34,843,63,ljtrigirl
751,34,843,63,szutek
751,34,843,63,yokiboy
751,34,914,62,boxoftricks_13
751,34,914,62,dasdimmo
751,34,914,62,settlerdave
751,34,970,61,celiborn
751,34,970,61,chizcw
751,34,970,61,neolithium
751,34,1034,60,ckruns624
751,34,1034,60,dd gamer
751,34,1034,60,progknight
751,34,1034,60,thezooz
751,34,1109,59,aaandrew152
751,34,1109,59,balint77
751,34,1109,59,fredrik83
751,34,1109,59,gryfon
751,34,1109,59,gulgothica
751,34,1109,59,pendragon13uk
751,34,1109,59,woolridges
751,34,1202,58,broken toaster
751,34,1202,58,sweetsweetdoughnuts
751,34,1276,57,aldanra
751,34,1276,57,anemelos
751,34,1276,57,annagee
751,34,1276,57,cb droege
751,34,1276,57,dima3103
751,34,1276,57,drewcooter
751,34,1276,57,malacandra
751,34,1276,57,rob in richmond
751,34,1276,57,spazz451
751,34,1276,57,stormybriggs
751,34,1362,56,howitzer_120mm
751,34,1362,56,invisiblesimmer
751,34,1362,56,sorcretic
751,34,1459,55,aldebarane
751,34,1459,55,antidisbalans
751,34,1459,55,jcarnehl
751,34,1459,55,munny
751,34,1459,55,speshul
751,34,1459,55,twity27
751,34,1459,55,virurenu
751,34,1568,54,blind reality
751,34,1568,54,galar
751,34,1568,54,garry_rice
751,34,1568,54,justtobenice
751,34,1568,54,lewk1700
751,34,1568,54,pabloab
751,34,1568,54,scod101
751,34,1568,54,siddgames
751,34,1568,54,slimy_asparagus
751,34,1568,54,spiritraw
751,34,1568,54,zenithsplendor
751,34,1674,53,bergbau
751,34,1674,53,clericid
751,34,1674,53,iskreemman
751,34,1674,53,kfbunny
751,34,1674,53,miky_10
751,34,1674,53,ronczi
751,34,1792,52,berentski
751,34,1792,52,diatros
751,34,1792,52,dmk11
751,34,1792,52,garrylloyd
751,34,1792,52,maertenl
751,34,1792,52,the_ka
751,34,1906,51,charmlessman77
751,34,1906,51,tmgd
751,34,1906,51,wrecktangled
751,34,1906,51,zombieboard
751,34,2053,50,alexandertlq
751,34,2053,50,bkirbit
751,34,2053,50,davideca
751,34,2053,50,edbob411
751,34,2053,50,esed
751,34,2053,50,jarllangdon
751,34,2053,50,kowalskie
751,34,2053,50,mayhemoid
751,34,2053,50,sammo hoi
751,34,2053,50,sharkboy666
751,34,2053,50,spielfreak
751,34,2053,50,tonyfung1205
751,34,2204,49,gimli043
751,34,2204,49,htivante23
751,34,2204,49,kobex
751,34,2204,49,meisterjugads
751,34,2204,49,nelud
751,34,2351,48,edmil
751,34,2351,48,gaz72uk
751,34,2351,48,jonas.mann
751,34,2351,48,phoenix010
751,34,2555,47,bert1965
751,34,2555,47,deadeyes84
751,34,2555,47,lippifi
751,34,2555,47,mccedi
751,34,2555,47,mobo63
751,34,2555,47,robthecramer
751,34,2758,46,makouru
751,34,2969,45,acidrulez
751,34,2969,45,kubalib
751,34,3216,44,zachcarter
751,34,3514,43,vespree
751,34,4092,41,derekbturner
751,34,4092,41,max_ra
879,33,61,117,legofanfamily
879,33,85,109,breve maltese
879,33,127,100,houjix
879,33,161,94,fiend138
879,33,289,82,cokasaki
879,33,340,78,fffulmicotone
879,33,340,78,solat
879,33,361,77,menhunlahun
879,33,413,75,de bergho
879,33,438,74,oicalyptus
879,33,473,73,phil bordelon
879,33,493,72,rubia
879,33,522,71,b5dorsai
879,33,522,71,deinos
879,33,559,70,andes_v
879,33,589,69,marctimmins89
879,33,589,69,yantheo
879,33,623,68,redward
879,33,623,68,styren
879,33,652,67,bobborobbo
879,33,696,66,lostphd
879,33,696,66,per42
879,33,787,64,pizzachip
879,33,787,64,quilzar
879,33,787,64,sdrewthomson
879,33,787,64,wtultc
879,33,843,63,magic_erwt
879,33,843,63,ravensson
879,33,843,63,tacox01
879,33,843,63,zioombel
879,33,914,62,howez92
879,33,914,62,katarakt
879,33,914,62,pericles1958
879,33,970,61,harveth
879,33,970,61,rapires
879,33,970,61,willymagic
879,33,1034,60,afaroca
879,33,1034,60,cameronwlucas
879,33,1034,60,hamsteroffury
879,33,1034,60,mamadallama
879,33,1109,59,canadianwytewolf
879,33,1109,59,fish34777
879,33,1109,59,haschim
879,33,1109,59,skate
879,33,1109,59,supersausagedog
879,33,1202,58,schkff
879,33,1202,58,thenamewastaken
879,33,1276,57,chearns
879,33,1276,57,dmillar71
879,33,1276,57,finrondfelagund
879,33,1362,56,ajax013
879,33,1362,56,swedelad
879,33,1459,55,danco0917
879,33,1459,55,garg
879,33,1459,55,ianne
879,33,1459,55,rednar
879,33,1459,55,sirei
879,33,1459,55,xhaereticusx
879,33,1568,54,jagdfrosch
879,33,1568,54,papachango
879,33,1568,54,trademarc
