,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
20,21,39856,20800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,5,,,,,,,,,,,,,,,80,6,,,,,,,235,11,,,,,18,38,2046,29,,,,,,,,,7390,34,,,,,,,,,,,,,,,2489,14,,,,,,,,,,,,,,,87,18,,,,,,,,,,,405,14,,,,,,,,,,,,,,,2902,10,,,,,,,,,,,,,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,34,,,,,,,,,,,,,1285,11,,,,,,,,,,,2951,8,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,16
21,22,2136,20346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,8,,,,,,,,,,,,,,,,,,,,,,,489,6,,,,,,,7994,6,,,,,,,,,4885,42,11,10,241,45,,,,,227,4,,,,,426,53,,,,,,,,,,,,,,,,,,,,,272,5,,,,,512,13,,,,,,,,,,,,,,,1099,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,1487,7,,,,,,,,,,,,,,,,,1409,7,,,,,,,,,,,76,72,,,,,,,,,,,,,,,,,269,2,,,,,,,,,5,3,,,301,15,,,,,,,,,,,,,,,381,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,73
22,23,2952,19675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,14,,,,,,,,,,,,,176,8,3066,21,,,,,,,,,8211,27,8,15,1426,14,,,9,7,,,354,8,,,1709,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,,,,,2795,11,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,16,,,223,9,,,,,,,,,,,,,,,,,,,225,23,,,,,187,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,1258,17380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,24,,,,,,,4631,12,,,,,,,,,12601,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,9209,14907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,35,,,,,,,,,,,,,48,19,984,52,,,,,,,,,10628,19,,,60,83,,,,,,,215,16,,,8,334,,,,,,,,,,,,,,,,,,,,,,,,,,,67,27,,,,,,,,,,,,,,,763,30,4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,510,20,6,12,274,8,,,,,,,,,,,,,598,21,,,,,,,,,,,452,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,17,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,
25,26,27443,14604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,43,,,,,,,55,23,,,12,6,35,24,1002,51,,,,,,,,,1051,120,6,26,592,26,37,8,,,,,138,21,,,510,52,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,,,,,,,,,,,,,3758,9,,,,,,,,,,,,,2160,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,33,,,,,,,,,,,,,,,,,380,26,,,,,394,14,,,,,1638,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2518,4
26,27,2425,14482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,11,39,,,,,,,,,,,,,71,16,1209,45,,,,,,,,,4612,44,5,33,887,22,,,7,10,73,8,168,19,,,1187,27,,,,,,,,,,,,,,,136,14,,,,,,,,,,,,,,,,,,,,,,,,,,,732,32,821,17,,,,,,,,,,,21,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,32,,,,,,,,,,,,,,,,,644,20,,,,,291,19,,,157,6,2565,10,,,,,,,,,,,,,,,,,109,7,,,,,,,,,,,,,228,18,,,,,19,5,,,,,,,,,,,,,,,139,9,,,,,,,,,15,11,,,,,,,,,,,,,,,,,,,107,29
27,28,41114,14168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14067,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,891,13996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,38,,,,,,,,,,,,,,,1507,39,,,,,,,,,7605,32,,,1289,16,,,,,,,,,,,1416,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,3886,13805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,4,,,,,,,,,,,,,,,15,31,,,,,,,,,,,,,100,11,6319,10,,,,,,,,,13,929,14,7,316,39,13,14,,,23,11,237,14,,,598,47,,,6,3,,,,,,,,,,,31,30,,,,,,,,,,,1077,2,,,,,,,,,,,,,,,1548,18,142,44,,,,,,,,,,,26,29,,,,,,,,,10,2,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,45,9,8,184,13,,,,,,,,,,,,,488,23,,,,,616,10,,,514,1,276,42,,,,,,,,,,,,,,,,,169,4,4,14,,,,,,,,,,,80,34,,,,,,,,,,,,,,,304,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,31
30,31,2921,13643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,,,,,,,,,,,,,,,1683,33,,,,,,,,,8160,29,,,,,,,,,,,,,,,687,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2317,9,,,,,,,,,,,116,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,24,,,,,,,,,,,,,,,,,,,,,,,278,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,6819,13123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,15,8809,4,,,,,,,,,2430,62,7,19,,,,,,,,,46,40,,,324,65,,,,,,,,,,,,,,,16,40,,,,,,,,,,,,,,,,,,,,,,,9,2,,,205,65,,,,,,,,,,,,,13,41,,,,,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,111,51,,,24,32,,,,,,,,,,,,,436,24,,,,,109,30,,,,,164,53,,,,,,,,,,,,,,,,,33,14,,,,,,,,,,,,,124,28,,,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,28
32,33,30549,12713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,28,,,,,14,40,685,61,,,,,,,,,9947,22,,,,,,,,,,,,,,,652,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,69,499,23,,,,,,,,,,,16,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,34,,,18,38,,,,,,,,,,,,,,,,,,,,,,,,,320,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,2398,12375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,82,,,,,,,,,10522,20,5,32,,,,,,,,,30,54,,,920,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,52,,,,,,,,,,,,,,,,,44,64,,,,,,,,,,,222,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,43,,,,,,,,,,,,,,,43,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,5072,12148,,,,,,,,,,,7,16,,,,,,,,,,,,,,,,,12,17,,,,,39,2,,,,,,,,,11,41,,,,,,,,,,,,,205,6,1073,49,,,,,,,,,8402,26,5,34,92,70,,,,,,,,,,,611,45,,,,,,,,,,,,,9,3,,,221,3,,,,,,,,,,,,,,,293,4,,,,,,,,,142,75,364,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,,,7,4,,,103,2,,,,,,,,,,,,,,,58,67,21,3,147,18,,,,,,,,,,,,,,,,,,,,,,,,,126,60,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,50,44,,,,,64,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,53
35,36,1269,12054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3421,18,,,,,,,,,7517,33,,,,,,,,,,,749,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,11634,11901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11771,15,,,,,,,,,,,,,,,63,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,84
37,38,2281,11887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,19,,,,,,,,,,,,,,,,,,,,,,,,,6428,38,,,2372,11,,,,,,,,,,,1066,30,,,,,,,,,,,,,,,37,27,,,,,,,,,,,,,,,,,,,,,,,,,,,1766,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,2407,11422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,206,,,,,,,,,11266,17,,,68,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,2392,11199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,15,,,,,,,157,14,,,,,,,1245,43,,,,,,,,,6096,41,,,444,33,,,8,8,108,6,,,,,1085,29,,,,,,,,,,,,,,,,,,,,,,,,,,,29,33,,,,,,,,,,,,,,,537,40,299,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,25,,,81,24,,,,,,,,,,,,,425,25,,,,,138,28,,,,,,,,,,,,,,,,,,,,,,,7,28,,,,,,,5,12,,,,,139,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,68
40,41,36218,10991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,47,,,,,,,112,16,,,,,7,56,2144,28,,,,,,,,,6267,40,,,,,,,,,,,43,42,,,393,55,,,,,,,,,,,,,,,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,193,67,1011,15,,,,,,,,,,,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,29,,,65,26,,,,,,,,,,,,,124,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,25
41,42,5894,10834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,34,,,,,,,,,,,,,,,660,64,,,,,,,,,3386,55,,,389,34,,,,,,,64,35,,,540,50,,,,,,,,,,,,,,,86,19,,,,,,,,,,,,,,,,,,,,,,,,,,,673,36,1111,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,55,,,,,,,,,,,,,,,,,,,,,,,242,22,,,,,3266,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,14,,,,,100,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,5432,10402,,,,,,,,,,,92,8,,,9,2,,,,,,,,,,,,,5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,108,,,,,,,,,7750,30,,,557,28,,,,,91,7,14,82,,,224,77,,,,,,,,,,,,,4,4,138,13,340,2,,,,,,,,,,,,,,,179,8,,,,,,,,,165,72,91,52,,,,,,,,,,,8,51,,,,,,,,,,,,,,,,,49,6,,,,,,,1,6,,,15,3,,,,,,,,,,,,,,,101,54,5,14,42,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,4,16,3,127,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,47
43,44,3955,10333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,40,,,,,,,18,39,,,,,,,387,89,,,,,,,,,4205,48,,,795,24,,,,,,,,,,,1248,26,,,,,,,,,,,,,,,,,,,,,,,,,,,248,18,,,,,,,,,,,,,,,2498,12,,,,,,,,,,,,,275,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,12
44,45,2386,10028,,,,,,,,,,,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,,,,,,,32,30,,,,,,,,,,,,,,,,,4633,43,5,31,2527,10,,,,,,,78,29,,,845,38,,,,,,,,,,,,,,,53,23,,,,,,,,,,,68,25,,,,,,,,,,,,,,,723,33,,,,,,,,,,,,,48,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,168,14,,,,,,,,,,,,,131,41,,,,,76,35,,,,,20,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,21,,,,,,,,,9,14,,,,,,,,,,,9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,17
45,46,74,10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9919,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,2381,9237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,16,,,,,,,,,,,,,,,,,,,,,,,,,7152,35,,,764,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,2719,9075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,82,,,,,,,,,,,,,24,32,693,60,,,,,,,,,6513,37,6,21,277,41,,,,,,,38,48,,,864,37,,,,,,,,,,,,,,,47,25,,,,,,,,,,,5,49,,,,,,,,,,,,,,,210,64,,,,,,,,,,,,,11,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,70,,,,,,,,,,,,,,,,,42,66,,,,,,,,,,,171,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,52,,,,,,,,,,,,,,,,,,,,,3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,35
48,49,11733,8857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,125,,,,,,,5,1,1720,84,,,,,,,,,,,,,,,337,63,,,,,,,,,,,,,,,,,,,,,378,4,,,,,24,35,,,,,,,,,,,,,,,5972,4,50,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,80,6,,,,,33,7,,,,,5,113,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,
49,50,2785,8455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,3,,,,,,,,,,,,,25,31,405,86,,,,,,,,,629,168,6,22,3374,8,,,8,9,,,,,,,1514,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383,19,63,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,13,,,,,,,,,,,,,,,8,1,52,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,27,64
50,51,9364,7760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7004,9,,,,,,,,,627,169,,,,,,,,,,,,,,,86,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,2375,7683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7653,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,60
52,53,172225,7374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7125,36,,,,,,,,,,,,,,,232,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,1917,7063,,,,,,,,,,,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,28,,,,,,,27,34,,,,,68,17,533,76,,,,,,,,,3788,53,4,37,533,29,,,,,63,9,12,86,,,418,54,,,,,,,,,,,,,,,160,11,,,,,,,,,,,,,,,,,,,,,,,,,,,188,70,,,,,,,,,,,,,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,12,,,24,31,,,,,,,,,,,,,,,,,,,,,,,,,154,55,,,,,,,,,,,,,,,,,9,22,,,,,,,,,,,,,66,40,,,,,,,,,,,,,,,,,,,,,10,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,42
54,55,68448,6884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,44,,,,,,,,,,,,,10,48,684,62,,,,,,,,,4168,49,,,,,,,,,,,,,,,1385,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,55,,,,,,,,,,,,,9,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,61,,,,,,,1,7,,,,,,,,,234,27,,,,,23,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,13713,6528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,18,,,,,,,,,,,,,39,22,1288,41,,,,,,,,,2214,65,,,277,42,,,5,12,,,40,44,,,1022,33,,,,,,,,,,,,,,,32,29,,,,,,,,,,,3,50,,,,,,,,,,,3,5,,,323,51,444,27,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,35,,,,,221,24,,,,,36,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,50,,,,,,,,,,,,,,,223,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,27
