bgg_id,name,year,award,winner,nominated,recommended,sonderpreis,bayes_rating,designer
17903,"Fuzzi, Heinz und Schlendrian",1983,spiel,False,False,True,,,500
17904,Wir füttern die kleinen Nilpferde,1983,spiel,False,False,True,,,94
17905,Feuerwehr,1984,spiel,False,False,True,,,5340
18052,Pin,1985,spiel,False,False,True,,,2141
18602,Caylus,2005,spiel,False,False,False,Complex Game,7.51968,5629
18880,Daddy Cool,2004,kinder,False,True,True,,5.52704,256
18881,Schildi Schildkröte,2004,kinder,False,True,True,,5.55215,545
19129,Im Wassergarten,2004,spiel,False,False,True,,,609
19301,Mesopotamia,2005,spiel,False,False,True,,5.92286,398
19646,Cowabunga,2005,spiel,False,False,True,,5.58531,12
19877,Beetlez,2005,kinder,False,False,True,,5.50796,3841
19996,Nacht der Magier,2005,kinder,False,True,True,,5.92321,3432
19996,Nacht der Magier,2005,kinder,False,True,True,,5.92321,1288
20080,Aqua Romana,2005,spiel,False,True,True,,5.86294,840
20544,"Macius: Achtung, fertig, los !",2003,kinder,False,True,True,,,272
20544,"Macius: Achtung, fertig, los !",2003,kinder,False,True,True,,,7
20544,"Macius: Achtung, fertig, los !",2003,kinder,False,True,True,,,2268
20548,Sternenkinder,2005,kinder,False,False,True,,,3
20549,"Ene Mene Muh, gib mir deine Kuh!",2005,kinder,False,False,True,,,7
20549,"Ene Mene Muh, gib mir deine Kuh!",2005,kinder,False,False,True,,,275
20622,Mit Felix um die Welt,2005,kinder,False,False,True,,,645
