bgg_id,name,year
221,Ikusa,1986
2378,Drachenfels,1986
23249,Game of Games,1986
11632,Gute Nachbarn,1986
1144,The Warlock of Firetop Mountain,1986
380,Polarity,1986
5186,King Arthur and the Knights of the Round Table,1986
4585,Seaside Frolics,1986
2336,S.P.I.V.'s,1986
1288,Jitters,1986
240,Britannia,1986
5770,Orchard,1986
58,Kings & Things,1986
2175,Willi Wacker,1986
563,Doolittle & Waite,1986
4764,Casino Yahtzee,1986
3239,Nessie Hunt,1986
1768,Fireball Island,1986
6686,Stun,1986
5539,Swoggle,1986
2793,The Hamsters,1986
8644,Masquerade,1986
15527,Jorden runt på 80 dagar,1986
4637,Max,1986
535,Power Barons,1986
1464,Duo,1986
2547,Emperor's Challenge,1986
21572,ChickenFoot,1986
3793,Pig Pong,1986
18164,Black Cannon,1986
7118,Ace of Aces: Handy Rotary Deluxe Edition,1986
2557,Castle Risk,1986
9646,Where in the World?,1986
6426,Kage,1986
7491,Princess,1986
421,1830: Railways & Robber Barons,1986
796,Shanghai Trader,1986
5157,King's Court,1986
8960,Roma,1986
10462,Battle of the Sexes,1986
8455,Anvil-Dragoon: Southwall 1944,1986
1890,Plateau,1986
4382,Go For It!,1986
8088,Scrabble Rebus,1986
5156,Crime Solvers,1986
1686,Spy vs Spy,1986
4893,The Real Ghostbusters Game,1986
5026,Don't Wake the Dragon!,1986
3512,Doorways to Adventure,1986
12420,Throw 'n Go Jenga,1986
99,Fortress America,1986
2538,Viceroys,1986
2812,Platoon,1986
2457,Torpedo Run!,1986
15635,Busungar,1986
14514,Metric Mile,1986
5137,Ellery Queen's Mystery Magazine Game,1986
6478,Dictionary Dabble,1986
8100,Frik,1986
6771,Sceptre 1027 A.D.,1986
14036,Jok-R-ummy,1986
3202,RAF,1986
28650,The Transformers Game,1986
5926,Glory Road: The First Battle of Bull Run,1986
3071,Blood Bowl,1986
3711,Flight Leader,1986
3237,Against the Reich,1986
11047,Barbarossa: Game of the Russo-German War 1941-45,1986
5924,Napoleon and the Archduke Charles: The Battle of Aspern-Essling,1986
9621,Battle for the Galaxy: Zylatron,1986
8173,Battleship: Tactical Capital Ship Combat 1925-1945,1986
9565,James Bond 007 Assault! Game,1986
13672,Chutes and Ladders VCR,1986
2078,"Aegean Strike: Land, Air, and Sea Combat in the Eastern Mediterranean",1986
1559,Wabbit's Wevenge,1986
804,Thunder Road,1986
3175,The ElfQuest Boardgame,1986
6024,"Warsaw Rising: Revolt of the Polish Underground, 1944",1986
1482,Ubi,1986
3839,UNO Dominos,1986
10188,Sale of the Century Quizzard,1986
4185,B.S.: The Game of Being Sneaky,1986
6226,Eastern Front Tank Leader,1986
30879,Police 07,1986
5515,Grand Master,1986
5701,Dark Blades,1986
3944,The Honeymooners Game,1986
4279,Flux,1986
8705,Bloody Keren,1986
1396,Ben Hur,1987
1950,The Mysteries of Peking,1987
2546,Elixir,1987
2203,Suppenkasper,1987
756,Black Vienna,1987
1004,Der Feuersalamander,1987
2230,Ayanu,1987
1073,Der Schatz der Inka,1987
6660,Cubus,1987
2354,Scan,1987
7256,Digit,1987
6414,Genius Rules,1987
2731,Upthrust,1987
4881,Personal Preference,1987
17918,The Transformation Game,1987
1184,Zug nach Westen,1987
936,The Fury of Dracula,1987
1303,The Squirrel Game,1987
1744,Monster Mash,1987
2868,Eye,1987
15958,Sphinx,1987
20224,Geld & Börse,1987
23402,Die unendliche Geschichte,1987
3030,Baggage Claim,1987
4790,Trivial Pursuit: Volume II,1987
2963,Stockmarket,1987
6513,Don't Panic!,1987
248,Blood Royale,1987
4889,Dizzy Dizzy Dinosaur,1987
393,Dinosaurs of the Lost World,1987
3558,Quizzard,1987
1826,Whatzit?,1987
27373,Guillotine,1987
1031,TV Wars,1987
5464,Calypso,1987
2495,Boggle Bowl,1987
2858,Mathable,1987
1985,Overturn,1987
1351,Legend of Heroes,1987
1725,A Nightmare on Elm Street: The Game,1987
4875,How to Host a Murder: The Class of '54,1987
4909,Fun City Game,1987
3004,UNO Dice,1987
673,Star Traders,1987
9901,Electric Jeopardy Game,1987
5649,Rock Trivia,1987
